date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:21	20716/20716	U-----	200	untouched ('')	font/woff2	date:Thu,%2018%20Feb%202016%2012:04:14%20GMT	http://www.moezkrichen.tn/assets/fonts/Raleway-Black.woff2	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Raleway-Black.woff2	(from http://www.moezkrichen.tn/assets/css/roboto-railway-webfont.css)
11:38:21	14584/14584	U-----	200	untouched ('')	font/woff2	date:Wed,%2010%20Jun%202015%2010:01:24%20GMT	http://www.moezkrichen.tn/assets/fonts/Roboto-Regular.woff2	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Roboto-Regular.woff2	(from http://www.moezkrichen.tn/assets/css/roboto-railway-webfont.css)
11:38:21	14552/14552	U-----	200	untouched ('')	font/woff2	date:Wed,%2010%20Jun%202015%2010:01:40%20GMT	http://www.moezkrichen.tn/assets/fonts/Roboto-Bold.woff2	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Roboto-Bold.woff2	(from http://www.moezkrichen.tn/assets/css/roboto-railway-webfont.css)
11:38:21	55820/55820	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Sat,%2023%20May%202015%2017:30:30%20GMT	http://www.moezkrichen.tn/assets/fonts/Linearicons-Free.eot?w118d	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Linearicons-Free54e9.eot	(from http://www.moezkrichen.tn/assets/css/linearicons-web-font.css)
11:38:22	55820/55820	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Sat,%2023%20May%202015%2017:30:30%20GMT	http://www.moezkrichen.tn/assets/fonts/Linearicons-Free.eot?	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Linearicons-Freed41d.eot	(from http://www.moezkrichen.tn/assets/css/linearicons-web-font.css)
11:38:22	21780/21780	U-----	200	untouched ('')	font/woff2	date:Sat,%2023%20May%202015%2017:30:36%20GMT	http://www.moezkrichen.tn/assets/fonts/Linearicons-Free.woff2?w118d	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Linearicons-Free54e9.woff2	(from http://www.moezkrichen.tn/assets/css/linearicons-web-font.css)
11:38:22	55696/55696	U-----	200	untouched ('')	font/woff	date:Sat,%2023%20May%202015%2017:30:30%20GMT	http://www.moezkrichen.tn/assets/fonts/Linearicons-Free.woff?w118d	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Linearicons-Free54e9.woff	(from http://www.moezkrichen.tn/assets/css/linearicons-web-font.css)
11:38:22	55620/55620	U-----	200	untouched ('')	font/ttf	date:Sat,%2023%20May%202015%2017:30:30%20GMT	http://www.moezkrichen.tn/assets/fonts/Linearicons-Free.ttf?w118d	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Linearicons-Free54e9.ttf	(from http://www.moezkrichen.tn/assets/css/linearicons-web-font.css)
11:38:22	205847/205847	U-----	200	untouched ('OK')	image/svg+xml	date:Sat,%2023%20May%202015%2017:30:30%20GMT	http://www.moezkrichen.tn/assets/fonts/Linearicons-Free.svg?w118d	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Linearicons-Free54e9.svg	(from http://www.moezkrichen.tn/assets/css/linearicons-web-font.css)
11:38:22	31049/31049	U-----	200	untouched ('')	image/gif	date:Mon,%2028%20Mar%202016%2016:29:56%20GMT	http://www.moezkrichen.tn/assets/images/preloading.gif	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/preloading.gif	(from http://www.moezkrichen.tn/assets/css/style.css)
11:38:23	2443797/2443797	U-----	200	untouched ('')	image/jpeg	date:Sun,%2029%20Oct%202017%2017:42:30%20GMT	http://www.moezkrichen.tn/assets/images/header-bg.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/header-bg.jpg	(from http://www.moezkrichen.tn/assets/css/style.css)
11:38:23	360936/360936	U-----	200	untouched ('')	image/jpeg	date:Sun,%2029%20Oct%202017%2017:10:22%20GMT	http://www.moezkrichen.tn/assets/images/city.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/city.jpg	(from http://www.moezkrichen.tn/assets/css/style.css)
11:38:23	153132/153132	U-----	200	untouched ('')	image/jpeg	date:Tue,%2031%20Oct%202017%2020:27:44%20GMT	http://www.moezkrichen.tn/assets/images/contact2.jpg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/images/contact2.jpg	(from http://www.moezkrichen.tn/assets/css/style.css)
